Kernel,Param1,Param2,Options,Size,Time
clBlas,1,4,-cl-std=CL1.2,4096,1.73905
clBlas,1,4,-cl-std=CL1.2,4096,1.89678
clBlas,1,4,-cl-std=CL1.2,4096,1.62067
clBlas,1,4,-cl-std=CL1.2,4096,1.57533
clBlas,1,4,-cl-std=CL1.2,4096,1.76305
clBlas,1,4,-cl-std=CL1.2,4096,1.82236
clBlas,1,4,-cl-std=CL1.2,4096,1.86420
clBlas,1,4,-cl-std=CL1.2,4096,1.73867
clBlas,1,4,-cl-std=CL1.2,4096,1.87735
clBlas,1,4,-cl-std=CL1.2,4096,1.70301
clBlas,1,4,-cl-std=CL1.2,4096,1.80951
clBlas,1,4,-cl-std=CL1.2,4096,1.74184
clBlas,1,4,-cl-std=CL1.2,4096,1.60547
clBlas,1,4,-cl-std=CL1.2,4096,1.58396
clBlas,1,4,-cl-std=CL1.2,4096,1.86373
clBlas,1,4,-cl-std=CL1.2,4096,1.60923
clBlas,1,4,-cl-std=CL1.2,4096,1.60597
clBlas,1,4,-cl-std=CL1.2,4096,1.79004
clBlas,1,4,-cl-std=CL1.2,4096,1.72806
clBlas,1,4,-cl-std=CL1.2,4096,1.66366
clBlas,1,4,-cl-std=CL1.2,4096,1.77825
clBlas,1,4,-cl-std=CL1.2,4096,1.75215
clBlas,1,4,-cl-std=CL1.2,4096,1.87225
clBlas,1,4,-cl-std=CL1.2,4096,1.64420
clBlas,1,4,-cl-std=CL1.2,4096,1.54378
clBlas,1,4,-cl-std=CL1.2,4096,1.73025
clBlas,1,4,-cl-std=CL1.2,4096,1.69887
clBlas,1,4,-cl-std=CL1.2,4096,1.59925
clBlas,1,4,-cl-std=CL1.2,4096,1.76824
clBlas,1,4,-cl-std=CL1.2,4096,1.78693
clBlas,1,4,-cl-std=CL1.2,4096,1.70177
clBlas,1,4,-cl-std=CL1.2,4096,1.64714
clBlas,1,4,-cl-std=CL1.2,4096,1.65103
clBlas,1,4,-cl-std=CL1.2,4096,1.65008
clBlas,1,4,-cl-std=CL1.2,4096,1.63947
clBlas,1,4,-cl-std=CL1.2,4096,1.73679
clBlas,1,4,-cl-std=CL1.2,4096,1.69446
clBlas,1,4,-cl-std=CL1.2,4096,1.71431
clBlas,1,4,-cl-std=CL1.2,4096,1.70324
clBlas,1,4,-cl-std=CL1.2,4096,1.73280
clBlas,1,4,-cl-std=CL1.2,4096,1.65905
clBlas,1,4,-cl-std=CL2.0,2048,0.21416
clBlas,1,4,-cl-std=CL2.0,2048,0.20587
clBlas,1,4,-cl-std=CL2.0,2048,0.22230
clBlas,1,4,-cl-std=CL2.0,2048,0.22946
clBlas,1,4,-cl-std=CL2.0,2048,0.20360
clBlas,1,4,-cl-std=CL2.0,2048,0.19178
clBlas,1,4,-cl-std=CL2.0,2048,0.23406
clBlas,1,4,-cl-std=CL2.0,2048,0.22109
clBlas,1,4,-cl-std=CL2.0,2048,0.22915
clBlas,1,4,-cl-std=CL2.0,2048,0.20438
clBlas,1,4,-cl-std=CL2.0,2048,0.24204
clBlas,1,4,-cl-std=CL2.0,2048,0.22660
clBlas,1,4,-cl-std=CL2.0,2048,0.21592
clBlas,1,4,-cl-std=CL2.0,2048,0.20137
clBlas,1,4,-cl-std=CL2.0,2048,0.21149
clBlas,1,4,-cl-std=CL2.0,2048,0.20062
clBlas,1,4,-cl-std=CL2.0,2048,0.21697
clBlas,1,4,-cl-std=CL2.0,2048,0.20731
clBlas,1,4,-cl-std=CL2.0,2048,0.21857
clBlas,1,4,-cl-std=CL2.0,2048,0.21120
clBlas,1,4,-cl-std=CL2.0,2048,0.22185
clBlas,1,4,-cl-std=CL2.0,2048,0.21470
clBlas,1,4,-cl-std=CL2.0,2048,0.19539
clBlas,1,4,-cl-std=CL2.0,2048,0.21559
clBlas,1,4,-cl-std=CL2.0,2048,0.20944
clBlas,1,4,-cl-std=CL2.0,2048,0.21247
clBlas,1,4,-cl-std=CL2.0,2048,0.21766
clBlas,1,4,-cl-std=CL2.0,2048,0.20328
clBlas,1,4,-cl-std=CL2.0,2048,0.19828
clBlas,1,4,-cl-std=CL2.0,2048,0.21574
clBlas,1,4,-cl-std=CL2.0,2048,0.21345
clBlas,1,4,-cl-std=CL2.0,2048,0.22302
clBlas,1,4,-cl-std=CL2.0,2048,0.22614
clBlas,1,4,-cl-std=CL2.0,2048,0.23784
clBlas,1,4,-cl-std=CL2.0,2048,0.22568
clBlas,1,4,-cl-std=CL2.0,2048,0.21257
clBlas,1,4,-cl-std=CL2.0,2048,0.22275
clBlas,1,4,-cl-std=CL2.0,2048,0.23004
clBlas,1,4,-cl-std=CL2.0,2048,0.22167
clBlas,1,4,-cl-std=CL2.0,2048,0.22003
clBlas,1,4,-cl-std=CL2.0,2048,0.22563
clBlas,1,4,-cl-std=CL2.0,2048,0.21418
clBlas,1,4,-cl-std=CL2.0,2048,0.21289
clBlas,1,4,-cl-std=CL2.0,2048,0.21094
clBlas,1,4,-cl-std=CL2.0,2048,0.21888
clBlas,1,4,-cl-std=CL2.0,2048,0.21946
clBlas,1,4,-cl-std=CL2.0,2048,0.23953
clBlas,1,4,-cl-std=CL2.0,2048,0.20185
clBlas,1,4,-cl-std=CL2.0,2048,0.20467
clBlas,1,4,-cl-std=CL2.0,2048,0.19952
clBlas,1,4,-cl-std=CL2.0,4096,1.99857
clBlas,1,4,-cl-std=CL2.0,4096,2.00009
clBlas,1,4,-cl-std=CL2.0,4096,1.85855
